fecha,precio_promedio_real,precio_promedio_pronostico
2012-04-29,40.835182333333336,116.54484238340407
2000-06-20,41.28225,117.1433280766777
2001-10-26,42.805688333333336,113.54719368490666
1998-01-19,122.90942,119.90890516582404
1995-08-28,1.4641666666666666,114.32963670146425
2009-08-03,128.88997366666666,120.25002294114074
2010-07-23,73.81620366666668,116.24665802652412
2009-01-01,161.92481433333333,123.27841765584022
2014-04-29,457.487136,117.22160321831018
2018-02-26,150.60755033333334,119.23308888825719
2014-03-22,170.32902433333334,118.72826154145201
2014-02-12,189.26796266666668,121.54012474047866
2000-12-10,40.97126633333333,115.5455959360519
1999-06-28,28.02358666666667,115.60073556608329
2014-07-13,152.39014333333333,118.36733604646653
2017-01-25,130.41198,119.61375596624812
2011-05-01,49.33937733333334,121.0778237392603
2007-03-05,98.27263,122.27521322495922
