,ano,mes,dia,tipo_dia,festivo,fin_semana,y
6575,2013,7,20,5,1,0,185.6148843333333
494,1996,11,25,0,0,1,34.291666666666664
8595,2019,1,30,2,0,1,298.449502
4544,2007,12,28,4,0,1,73.23997933333332
9272,2020,12,7,0,0,1,135.83666666666667
5074,2009,6,10,2,0,1,124.14293933333336
8746,2019,6,30,6,0,0,117.016356
2327,2001,12,2,6,0,0,33.07703566666667
917,1998,1,22,3,0,1,151.70112833333334
5034,2009,5,1,4,1,1,96.93964333333334
4527,2007,12,11,1,0,1,94.50585433333332
8700,2019,5,15,2,0,1,149.56783399999998
3342,2004,9,12,6,0,0,49.25077
408,1996,8,31,5,0,0,1.9973333333333327
8098,2017,9,20,2,0,1,112.92267599999998
7698,2016,8,16,1,0,1,258.15455233333336
2136,2001,5,25,4,0,1,41.80137533333333
1232,1998,12,3,3,0,1,28.06535833333333
9006,2020,3,16,0,0,1,316.5466666666667
1280,1999,1,20,2,0,1,26.76745
3665,2005,8,1,0,0,1,71.97599233333334
8932,2020,1,2,3,0,1,254.39916666666667
7143,2015,2,8,6,0,0,164.06618433333333
3729,2005,10,4,1,0,1,58.55983166666667
954,1998,2,28,5,0,0,97.51917666666668
3582,2005,5,10,1,0,1,74.14915699999999
3852,2006,2,4,5,0,0,64.07000833333332
2210,2001,8,7,1,1,1,38.206879
8255,2018,2,24,5,0,0,139.341144
1904,2000,10,5,3,0,1,55.156257333333336
835,1997,11,1,5,0,0,138.48145
9245,2020,11,10,1,0,1,219.4745833333333
3219,2004,5,12,2,0,1,78.75152266666667
8451,2018,9,8,5,0,0,71.27926866666667
3317,2004,8,18,2,0,1,50.58068466666666
4794,2008,9,3,2,0,1,57.539365333333336
4401,2007,8,7,1,1,1,112.25184733333332
5125,2009,7,31,4,0,1,131.58298366666668
6273,2012,9,21,4,0,1,218.482242
1399,1999,5,19,2,0,1,25.55474333333333
2189,2001,7,17,1,0,1,36.81147766666667
5256,2009,12,9,2,0,1,234.7898363333333
3254,2004,6,16,2,0,1,50.22155966666667
8915,2019,12,16,0,0,1,355.1795153333333
8309,2018,4,19,3,0,1,127.012295
470,1996,11,1,4,0,1,1.968
2821,2003,4,10,3,0,1,86.47859899999999
3471,2005,1,19,2,0,1,78.605913
5637,2010,12,25,5,1,0,64.82245533333334
68,1995,9,26,1,0,1,11.8685
2945,2003,8,12,1,0,1,64.78967666666667
7450,2015,12,12,5,0,0,613.250651
5874,2011,8,19,4,0,1,65.79334366666667
2126,2001,5,15,1,0,1,51.873042
7461,2015,12,23,2,0,1,717.6806413333334
2381,2002,1,25,4,0,1,50.378943
1776,2000,5,30,1,0,1,32.321099
2277,2001,10,13,5,0,0,49.32802166666667
1293,1999,2,2,1,0,1,26.06469333333333
8392,2018,7,11,2,0,1,88.79535966666667
4289,2007,4,17,1,0,1,95.13034433333333
4926,2009,1,13,1,0,1,129.11081433333334
6328,2012,11,15,3,0,1,181.64480233333333
6192,2012,7,2,0,1,1,77.88952366666668
7487,2016,1,18,0,0,1,680.0212263333334
1778,2000,6,1,3,0,1,37.97391666666667
9399,2021,4,13,1,0,1,154.6475
5278,2009,12,31,3,0,1,138.01422533333334
6128,2012,4,29,6,0,0,40.835182333333336
1797,2000,6,20,1,0,1,41.28225
2290,2001,10,26,4,0,1,42.805688333333336
914,1998,1,19,0,0,1,122.90942
39,1995,8,28,0,0,1,1.4641666666666666
5128,2009,8,3,0,0,1,128.88997366666666
5482,2010,7,23,4,0,1,73.81620366666668
4914,2009,1,1,3,1,1,161.92481433333333
6858,2014,4,29,1,0,1,457.487136
8257,2018,2,26,0,0,1,150.60755033333334
6820,2014,3,22,5,0,0,170.32902433333334
6782,2014,2,12,2,0,1,189.26796266666668
1970,2000,12,10,6,0,0,40.97126633333333
1439,1999,6,28,0,0,1,28.02358666666667
6933,2014,7,13,6,0,0,152.39014333333333
7860,2017,1,25,2,0,1,130.41198
5764,2011,5,1,6,1,0,49.33937733333334
4246,2007,3,5,0,0,1,98.27263
3586,2005,5,14,5,0,0,69.20224033333334
